stem,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
1. I find math interesting.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
2. I get uptight during math tests.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
3. I think that I will use math in the future.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
4. Mind goes blank and I am unable to think clearly when doing my math test.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
5. Math relates to my life.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
6. I worry about my ability to solve math problems.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
7. I get a sinking feeling when I try to do math problems.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
8. I find math challenging.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
9. Mathematics makes me feel nervous.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
10. I would like to take more math classes.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
11. Mathematics makes me feel uneasy.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
12. Math is one of my favorite subjects.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
13. I enjoy learning with mathematics.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
14. Mathematics makes me feel confused.,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
